100 3 10 4 85608000
126 7 21 3 19512000
94 1 25 8 26910067000
22 2 22 3 17048000
139 1 139 3 298663000
12 1 6 4 12285000
144 95 42 6 176706000
70 1 28 4 39549000
51 1 51 3 42746000
121 1 121 3 195115000
162 46 21 4 33342000
136 7 40 5 432079000
96 68 16 9 219293000
90 2 36 3 46373000
154 4 154 3 314372000
100 8 100 3 140313000
77 1 77 3 81838000
82 1 22 4 295152000
88 5 25 5 114896000
144 6 42 6 299971000
77 1 77 2 79157000
130 1 52 4 70367000
104 14 104 3 116546000
133 1 133 3 239305000
196 3 52 4 197633000
120 41 18 9 749371000
182 4 182 4 586520000
180 29 27 8 418333000
12 1 6 4 12904000
58 2 58 4 50792000
143 1 143 3 284723000
170 3 44 6 3805060000
22 2 22 4 18593000
142 1 37 4 7660669000
149 1 149 4 394102000
140 3 38 4 109591000
122 1 32 2 3355409000
124 3 34 6 2755514000
90 6 45 4 52544000
190 3 49 6 6250193000
197 1 197 3 754540000
119 1 119 2 170998000
30 2 12 6 34789000
154 3 40 6 3392549000
84 7 14 3 19745000
86 2 86 4 104743000
71 1 71 2 79045000
180 29 27 8 347071000
167 1 167 2 423837000
134 1 35 6 48183243000
