100 3 10 4 271438000
126 7 21 3 189994000
94 1 25 8 3417352000
22 2 22 3 24023000
139 1 139 3 1580810000
12 1 6 4 7924000
144 95 42 6 11455049000
70 1 28 4 854338000
51 1 51 3 261731000
121 1 121 3 3486691000
162 46 21 4 955615000
136 7 40 5 8342263000
96 68 16 9 4893407000
90 2 36 3 453000000
154 4 154 3 4372326000
100 8 100 3 878837000
77 1 77 3 451368000
82 1 22 4 604058000
88 5 25 5 1032221000
144 6 42 6 18078408000
77 1 77 2 316337000
130 1 52 4 432896000
104 14 104 3 616790000
133 1 133 3 2097593000
196 3 52 4 13522480000
120 41 18 9 5100763000
182 4 182 4 32029375000
180 29 27 8 21231206000
12 1 6 4 6743000
58 2 58 4 277176000
143 1 143 3 2577056000
170 3 44 6 23606148000
22 2 22 4 41847000
142 1 37 4 1186739000
149 1 149 4 3246630000
140 3 38 4 2293823000
122 1 32 2 265332000
124 3 34 6 3178981000
90 6 45 4 1143494000
190 3 49 6 22275414000
197 1 197 3 3554570000
119 1 119 2 803200000
30 2 12 6 174022000
154 3 40 6 27712340000
84 7 14 3 72331000
86 2 86 4 1005464000
71 1 71 2 287530000
180 29 27 8 21315968000
167 1 167 2 1672020000
134 1 35 6 2922268000
