100 3 10 4 35135000
39 1 7 5 116840000
195 1 35 4 150284000
56 1 20 6 87132000
52 3 7 16 11466464000
145 1 145 2 551185000
125 3 29 12 3964433000
21 1 5 5 16780000
56 7 17 3 11647000
164 2 164 4 1727744000
141 1 141 4 2121989000
44 2 44 2 41623000
67 1 67 4 10835483000
44 1 14 6 98001000
191 1 191 4 591629796000
100 2 100 2 233922000
58 1 16 4 334140000
199 1 199 3 120113566000
159 1 159 4 3631055000
135 1 135 3 503216000
22 2 22 3 10860000
150 7 22 7 397674000
67 1 67 2 97532000
184 4 52 5 717453000
180 35 60 6 399284000
155 2 155 3 679441000
98 1 26 8 23415312000
30 3 9 1 3299000
193 1 193 4 239879795000
25 2 25 3 17315000
33 1 33 2 27579000
27 4 11 4 6649000
125 2 125 3 329710000
48 51 24 3 15134000
120 14 21 16 5541043000
145 1 145 2 537440000
126 9 12 2 7933000
101 1 101 3 264505000
106 1 28 4 2466063000
42 6 42 3 39641000
172 3 46 8 23216079000
26 1 8 3 9048000
96 5 36 8 499540000
76 3 22 8 1429714000
104 9 104 3 224817000
102 2 30 4 145391000
157 1 157 3 18299487000
68 4 20 5 185126000
41 1 41 3 758850000
47 1 47 4 683803000
