100 3 10 4 217634000
90 10 90 3 410363000
45 2 45 3 156251000
84 15 84 4 594892000
55 2 55 3 140869000
62 2 62 2 89440000
28 1 10 2 21701000
32 34 14 3 26848000
35 1 35 3 87746000
51 1 51 2 124979000
78 5 21 8 1575294000
10 1 4 6 21504000
43 1 43 3 56447000
32 19 11 1 27065000
84 11 12 9 972601000
81 15 81 2 223563000
50 5 50 3 135699000
58 1 16 3 104634000
16 12 10 4 19323000
86 2 86 3 231221000
70 2 25 5 755039000
28 3 10 2 31928000
64 244 19 2 56294000
88 4 28 8 2018847000
93 1 13 9 1739399000
86 1 23 6 437881000
24 3 7 6 157802000
86 1 23 6 428429000
40 6 13 2 30450000
95 1 95 3 260905000
