100 3 10 4 49994000
39 1 7 5 156809000
40 12 10 3 5722000
149 1 149 3 356209000
180 5 45 5 186872000
155 2 155 3 425118000
113 1 113 4 272229000
200 32 53 4 106179000
142 2 142 4 291581000
32 39 14 2 4473000
95 1 95 4 143734000
182 2 56 8 2857074000
135 2 135 3 236416000
91 1 91 4 132218000
76 4 76 3 66510000
188 3 50 5 2427336000
115 1 115 2 161033000
159 1 159 3 381112000
28 4 28 2 11501000
141 1 141 4 287401000
56 8 56 2 37857000
120 38 13 7 1401496000
57 1 9 9 7000342000
132 8 66 4 66110000
103 1 103 4 224876000
171 3 11 19 2239401373000
72 44 12 4 16328000
23 1 23 3 11140000
30 1 15 3 11054000
74 1 20 6 5083698000
22 2 22 2 10226000
69 1 69 3 73303000
139 1 139 4 327696000
144 77 54 6 187221000
163 1 163 3 491460000
164 1 44 6 9089146000
76 1 22 6 453847000
136 14 40 8 1106486000
187 1 187 3 508492000
45 2 45 3 33090000
19 1 19 3 8883000
190 3 49 6 7423506000
163 1 163 4 635740000
55 2 55 4 68747000
98 5 98 4 112501000
186 5 48 8 16064959000
116 5 116 3 145801000
67 1 67 4 108142000
174 2 48 4 685630000
118 1 31 6 37642662000
