100 3 10 4 103521000
90 10 90 3 104129000
45 2 45 3 40985000
84 15 84 4 102662000
55 2 55 3 53140000
62 2 62 2 53725000
28 1 10 2 11949000
32 34 14 3 16857000
35 1 35 3 29594000
51 1 51 2 51838000
78 5 21 8 2033158000
10 1 4 6 59442000
43 1 43 3 177205000
32 19 11 1 13278000
84 11 12 9 916502000
81 15 81 2 86410000
50 5 50 3 52595000
58 1 16 3 654133000
16 12 10 4 16412000
86 2 86 3 625326000
70 2 25 5 204054000
28 3 10 2 13466000
64 244 19 2 20379000
88 4 28 8 1511657000
93 1 13 9 77371775000
86 1 23 6 26636703000
24 3 7 6 81092000
86 1 23 6 17423209000
40 6 13 2 45730000
95 1 95 3 113717000
