100 3 10 4 95685000
126 7 21 3 27322000
94 1 25 8 14847037000
22 2 22 3 17239000
139 1 139 3 306710000
12 1 6 4 13820000
144 95 42 6 221201000
70 1 28 4 47832000
51 1 51 3 52958000
121 1 121 3 201785000
162 46 21 4 45532000
136 7 40 5 309419000
96 68 16 9 239520000
90 2 36 3 37910000
154 4 154 3 322517000
100 8 100 3 143958000
77 1 77 3 85042000
82 1 22 4 186190000
88 5 25 5 94238000
144 6 42 6 324398000
77 1 77 2 82194000
130 1 52 4 50063000
104 14 104 3 128005000
133 1 133 3 249839000
196 3 52 4 193753000
120 41 18 9 703481000
182 4 182 4 598134000
180 29 27 8 426714000
12 1 6 4 12404000
58 2 58 4 52622000
143 1 143 3 289046000
170 3 44 6 708057000
22 2 22 4 18899000
142 1 37 4 6306779000
149 1 149 4 410744000
140 3 38 4 90008000
122 1 32 2 2681251000
124 3 34 6 1648142000
90 6 45 4 53470000
190 3 49 6 787341000
197 1 197 3 643672000
119 1 119 2 229390000
30 2 12 6 36450000
154 3 40 6 612350000
84 7 14 3 21824000
86 2 86 4 131648000
71 1 71 2 75612000
180 29 27 8 405214000
167 1 167 2 441844000
134 1 35 6 35403626000
