100 3 10 4 41299000
39 1 7 5 541320000
67 1 67 3 1688918000
33 1 33 4 41703000
57 1 9 2 2987000
88 10 55 3 88227000
66 2 21 4 89484000
86 2 86 4 2720312000
87 1 87 3 1071391000
77 1 77 3 253247000
85 1 85 3 216207000
96 80 36 4 120429000
33 1 33 4 156666000
38 2 38 2 53990000
23 1 23 2 11660000
28 1 10 8 522951000
69 1 69 2 121796000
24 11 15 5 70529000
89 1 89 2 208249000
12 1 6 5 24337000
16 4 10 4 4360000
32 4 20 5 57878000
81 2 81 4 173475000
44 4 44 3 42201000
13 1 13 3 22879000
71 1 71 3 4341103000
31 1 31 3 24194000
10 2 10 2 3282000
75 2 11 8 1133744000
73 1 73 3 2218727000
