100 3 10 4 102729000
126 7 21 3 25905000
94 1 25 8 111136461000
22 2 22 3 21082000
139 1 139 3 18295030000
12 1 6 4 14054000
144 95 42 6 307575000
70 1 28 4 104648000
51 1 51 3 71805000
121 1 121 3 20703112000
162 46 21 4 86084000
136 7 40 5 839590000
96 68 16 9 421408000
90 2 36 3 37098000
154 4 154 3 307214000
100 8 100 3 116879000
77 1 77 3 85492000
82 1 22 4 1304273000
88 5 25 5 179893000
144 6 42 6 490989000
77 1 77 2 94060000
130 1 52 4 53719000
104 14 104 3 126003000
133 1 133 3 244264000
196 3 52 4 2678184000
120 41 18 9 892324000
182 4 182 4 524189000
180 29 27 8 774676000
12 1 6 4 14222000
58 2 58 4 158120000
143 1 143 3 271967000
170 3 44 6 2369178000
22 2 22 4 42454000
142 1 37 4 39871478000
149 1 149 4 172234608000
140 3 38 4 128592000
122 1 32 2 6648610000
124 3 34 6 9928915000
90 6 45 4 76090000
190 3 49 6 3880709000
197 1 197 3 68740593000
119 1 119 2 221567000
30 2 12 6 89827000
154 3 40 6 1663166000
84 7 14 3 22362000
86 2 86 4 2878491000
71 1 71 2 1425553000
180 29 27 8 668748000
167 1 167 2 459991000
134 1 35 6 141356563000
