100 3 10 4 57141000
39 1 7 5 102051000
40 12 10 3 8006000
149 1 149 3 367801000
180 5 45 5 242030000
155 2 155 3 441099000
113 1 113 4 279059000
200 32 53 4 134459000
142 2 142 4 300830000
32 39 14 2 13429000
95 1 95 4 155889000
182 2 56 8 2704213000
135 2 135 3 255285000
91 1 91 4 139697000
76 4 76 3 78469000
188 3 50 5 1205167000
115 1 115 2 165508000
159 1 159 3 393617000
28 4 28 2 12903000
141 1 141 4 298524000
56 8 56 2 40633000
120 38 13 7 371847000
57 1 9 9 2083743000
132 8 66 4 76876000
103 1 103 4 235847000
171 3 11 19 280261014000
72 44 12 4 23259000
23 1 23 3 11589000
30 1 15 3 12885000
74 1 20 6 3144917000
22 2 22 2 14802000
69 1 69 3 73773000
139 1 139 4 348918000
144 77 54 6 226753000
163 1 163 3 462103000
164 1 44 6 5987263000
76 1 22 6 251992000
136 14 40 8 773408000
187 1 187 3 539105000
45 2 45 3 34896000
19 1 19 3 9735000
190 3 49 6 1223626000
163 1 163 4 613662000
55 2 55 4 74703000
98 5 98 4 122803000
186 5 48 8 6263907000
116 5 116 3 158159000
67 1 67 4 116551000
174 2 48 4 621941000
118 1 31 6 28459610000
