100 3 10 4 34625000
39 1 7 5 117881000
67 1 67 3 1009758000
33 1 33 4 26686000
22 1 7 3 3696000
24 15 24 3 13797000
16 4 10 6 8314000
73 1 73 2 2207468000
86 2 86 4 2368751000
92 4 92 4 317086000
25 1 25 2 32972000
11 1 11 3 5359000
72 6 21 4 39399000
69 1 69 4 219329000
46 2 46 4 153119000
75 3 75 3 118272000
62 2 62 3 240569000
72 43 9 6 33730000
54 15 54 4 62475000
41 1 41 2 75687000
84 13 42 2 40606000
91 1 91 3 207443000
75 3 75 2 118863000
48 10 18 6 25392000
48 52 48 3 48050000
27 5 27 4 19681000
75 3 75 2 110927000
23 1 23 4 119642000
77 1 77 3 140847000
54 14 15 5 25574000
