100 3 10 4 274997000
90 10 90 3 1038349000
45 2 45 3 324215000
84 15 84 4 1688109000
55 2 55 3 307192000
62 2 62 2 171404000
28 1 10 2 12518000
32 34 14 3 30851000
35 1 35 3 91039000
51 1 51 2 157507000
78 5 21 8 4765676000
10 1 4 6 15566000
43 1 43 3 100558000
32 19 11 1 17684000
84 11 12 9 3025702000
81 15 81 2 503467000
50 5 50 3 267658000
58 1 16 3 256298000
16 12 10 4 14601000
86 2 86 3 507135000
70 2 25 5 2146418000
28 3 10 2 13149000
64 244 19 2 58951000
88 4 28 8 6491894000
93 1 13 9 4831322000
86 1 23 6 1088621000
24 3 7 6 167947000
86 1 23 6 999657000
40 6 13 2 34428000
95 1 95 3 597339000
